Title,Released Year,Rating,Genres,Length,Certification,Directors,Writers,Stars
The Last Days of American Crime,2020,3.8,"Action,Crime,Drama",2h 28m , TV-MA,Olivier Megaton,"Greg Tocchini,Rick Remender,Karl Gajdusek","Tony Caprari,Neels Clasen,Edgar Ramírez"
Tentacles,1977,3.7,"Action,Adventure,Comedy",1h 42m , PG,Ovidio G. Assonitis,"Jerome Max,Steven W. Carabatsos,Tito Carpi","John Huston,Shelley Winters,Bo Hopkins"
Rise of the Teenage Mutant Ninja Turtles: The Movie,2022,6.1,"Animation,Action,Adventure",1h 22m , TV-PG,"Andy Suriano,Ant Ward","Rebecca May,Tony Gama-Lobo,Kevin Eastman","Brandon Mychal Smith,Omar Benson Miller,Ben Schwartz"
Testament,1983,6.9,"Drama,Sci-Fi",1h 30m , PG,Lynne Littman,"John Sacret Young,Carol Amen","William Devane,Rossie Harris,Jane Alexander"
The Spider,1958,4.6,"Family,Horror,Sci-Fi",1h 13m , Passed,Bert I. Gordon,"Bert I. Gordon,George Worthing Yates,László Görög","June Kenney,Ed Kemmer,Eugene Persson"
The Adventures of Pluto Nash,2002,3.9,"Action,Comedy,Sci-Fi",1h 35m , PG-13,Ron Underwood,,"Jay Mohr,Eddie Murphy,Randy Quaid"
Until the End of the World,1991,6.8,"Action,Drama,Sci-Fi",2h 38m , R,Wim Wenders,"Peter Carey,Wim Wenders,Solveig Dommartin","Pietro Falcone,William Hurt,Solveig Dommartin"
Apex,2021,3.0,"Action,Sci-Fi,Thriller",1h 33m,,Edward Drake,"Corey Large,Edward Drake","Bruce Willis,Neal McDonough,Corey Large"
Cade: The Tortured Crossing,2023,7.5,"Mystery,Sci-Fi,Thriller",1h 36m,,Neil Breen,,"Neil Breen,Nicole Butler,Gwendolyn Brown"
Bloodthirst,2023,,"Action,Horror,Sci-Fi", , R,Michael Su,"Massimiliano Cerchi,Adrian Milnes","Robert LaSardo,Tara Reid,Costas Mandylor"
Food of the Gods II,1989,4.0,"Sci-Fi,Horror",1h 31m , R,Damian Lee,"Richard Bennett,Mike Werb","Lisa Schrage,Réal Andrews,Paul Coufos"
The Fantastic Four,1994,3.8,"Action,Adventure,Family",1h 30m , PG,Oley Sassone,"Craig J. Nevius,Jack Kirby,Kevin Rock","Rebecca Staab,Jay Underwood,Alex Hyde-White"
Elizabeth Harvest,2018,5.8,"Horror,Sci-Fi,Thriller",1h 48m , R,Sebastian Gutierrez,,"Carla Gugino,Ciarán Hinds,Abbey Lee"
Chariot,2022,3.6,Sci-Fi,1h 34m , R,Adam Sigal,,"Scout Taylor-Compton,Rosa Salazar,Thomas Mann"
The Seed,2021,4.8,"Comedy,Horror,Sci-Fi",1h 31m,,Sam Walker,,"Lucy Martin,Sophie Vavasseur,Chelsea Edge"
Doom: Annihilation,2019,3.8,"Action,Adventure,Horror",1h 36m , R,Tony Giglio,,"Dominic Mafham,Luke Allen-Gale,Amy Manson"
The Illustrated Man,1969,5.8,"Drama,Fantasy,Horror",1h 43m , PG,Jack Smight,"Ray Bradbury,Howard B. Kreitsek","Rod Steiger,Robert Drivas,Claire Bloom"
Cabin Fever 3: Patient Zero,2014,4.4,"Horror,Sci-Fi",1h 31m , Not Rated,Kaare Andrews,,"Currie Graham,Ryan Donowho,Sean Astin"
Heavy Metal 2000,2000,5.4,"Animation,Action,Adventure",1h 28m , R,"Michel Lemire,Michael Coldewey","Kevin Eastman,Simon Bisley,Eric Talbot","Michael Ironside,Julie Strain,Billy Idol"
The Invisible Man Returns,1940,6.5,"Drama,Horror,Mystery",1h 21m , Passed,Joe May,"Curt Siodmak,Joe May,H.G. Wells","Cedric Hardwicke,Vincent Price,Nan Grey"
Dragon Ball Z: Battle of Gods,2013,7.1,"Animation,Action,Adventure",1h 25m , TV-PG,Masahiro Hosoda,"Akira Toriyama,Yûsuke Watanabe","Masako Nozawa,Ryô Horikawa,Hiromi Tsuru"
Liquid Sky,1982,6.0,"Sci-Fi,Thriller",1h 52m , R,Slava Tsukerman,"Nina V. Kerova,Slava Tsukerman,Anne Carlisle","Susan Doukas,Anne Carlisle,Paula E. Sheppard"
Unbelievable!!!!!,2020,3.7,"Comedy,Sci-Fi",1h 45m , PG-13,Steven L. Fawcette,,"Snoop Dogg,Garrett Wang,Chase Masterson"
Alphaville,1965,7.0,"Drama,Mystery,Sci-Fi",1h 39m , Not Rated,Jean-Luc Godard,"Paul Éluard,Jean-Luc Godard","Anna Karina,Eddie Constantine,Akim Tamiroff"
Body Melt,1993,5.3,"Horror,Comedy,Sci-Fi",1h 21m , Not Rated,Philip Brophy,"Rod Bishop,Philip Brophy","Ian Smith,Andrew Daddo,Gerard Kennedy"
Frankenstein Must Be Destroyed,1969,6.7,"Drama,Horror,Sci-Fi",1h 41m , PG-13,Terence Fisher,"Anthony Nelson Keys,Mary Shelley,Bert Batt","Peter Cushing,Freddie Jones,Veronica Carlson"
River,2023,7.3,"Comedy,Sci-Fi",1h 26m,,Junta Yamaguchi,,"Manami Honjô,Gôta Ishida,Riko Fujitani"
Man-Thing,2005,4.1,"Action,Adventure,Horror",1h 37m , R,Brett Leonard,"Hans Rodionoff,Steve Gerber","Jack Thompson,Steve Bastoni,Matthew Le Nevez"
Phantasm IV: Oblivion,1998,5.5,"Fantasy,Horror,Sci-Fi",1h 30m , R,Don Coscarelli,,"Bill Thornbury,A. Michael Baldwin,Reggie Bannister"
Altered Perceptions,2023,5.3,"Horror,Mystery,Sci-Fi",2h,,Jorge Ameer,,"Oran Stainbrook,Sally Kirkland,Eric Roberts"
Attack of the 50 Foot Woman,1958,5.0,"Horror,Sci-Fi",1h 6m , Passed,Nathan Juran,,"Allison Hayes,Yvette Vickers,William Hudson"
The Mothership,2023,,"Adventure,Drama,Family","The Mothership: With Halle Berry, Molly Parker, Omari Hardwick, Paul Guilfoyle. One year after her husband's mysterious disappearance, Sara Morse discovers a strange, extraterrestrial object underneath their home. She and her kids are on a race to find their husband, father, and the truth.",,,,"Omari Hardwick,Halle Berry,Molly Parker"
Star Wars: Lost Horizons,2025,,Sci-Fi,"Star Wars: Lost Horizons: Directed by Giovanni Michael. With CJ Morrison, Scott Rees, Ivan John Winkler, Blanca Samperio. Decades after the collapse of the GALACTIC EMPIRE and the rise of the NEW REPUBLIC, the corruption has returned, and with it, a new threat. A lost Jedi Knight must find a way of saving the corrupt Republic from the incoming destruction that it has brought upon itself. With the New Council of Jedi falling to the dark, A New Hope must arrive, and bring the Jedi, and the Republic, back to the light.",,Giovanni Michael,,"Scott Rees,CJ Morrison,Ivan John Winkler"
The Children,1980,5.4,"Horror,Sci-Fi",1h 33m , R,Max Kalmanowicz,"Carlton J. Albright,Edward Terry","Gale Garnett,Martin Shakar,Gil Rogers"
Last and First Men,2020,6.7,"Fantasy,Mystery,Sci-Fi",1h 10m,,Jóhann Jóhannsson,"José Enrique Macián,Olaf Stapledon,Jóhann Jóhannsson",
The Quiet Earth,1985,6.7,"Drama,Mystery,Sci-Fi",1h 31m , R,Geoff Murphy,"Bruno Lawrence,Craig Harrison,Bill Baer","Bruno Lawrence,Alison Routledge,Pete Smith"
Parallel,2018,5.8,"Drama,Mystery,Sci-Fi",1h 44m,,Isaac Ezban,,"Martin Wallström,Georgia King,Aml Ameen"
Animal,2014,4.7,"Action,Adventure,Drama",1h 22m , Not Rated,Brett Simmons,"Thommy Hutson,Catherine Trillo","Elizabeth Gillies,Paul Iacono,Joey Lauren Adams"
Daylight's End,2016,5.4,"Action,Fantasy,Horror",1h 45m , Not Rated,William Kaufman,,"Louis Mandylor,Johnny Strong,Lance Henriksen"
The Computer Wore Tennis Shoes,1969,5.9,"Comedy,Family,Sci-Fi",1h 31m , G,Robert Butler,,"Kurt Russell,Joe Flynn,Cesar Romero"
Continuum,2013,6.1,"Drama,Mystery,Sci-Fi",1h 33m , Not Rated,Richie Mehta,,"Rufus Sewell,John Paul Ruttan,Gillian Anderson"
Gantz,2010,6.4,"Action,Horror,Sci-Fi",2h 10m , Not Rated,Shinsuke Sato,"Hiroya Oku,Yûsuke Watanabe","Ken'ichi Matsuyama,Kanata Hongô,Kazunari Ninomiya"
Ravenous,2017,5.8,"Action,Adventure,Drama",1h 44m , TV-MA,Robin Aubert,,"Monia Chokri,Marc-André Grondin,Charlotte St-Martin"
Ghost in the Machine,1993,4.6,"Horror,Sci-Fi,Thriller",1h 35m , R,Rachel Talalay,"William Osborne,William Davies","Ted Marcoux,Chris Mulkey,Karen Allen"
The Blood of Heroes,1989,6.3,"Action,Sci-Fi,Sport",1h 30m , R,David Webb Peoples,,"Joan Chen,Delroy Lindo,Rutger Hauer"
Space Truckers,1996,5.4,"Adventure,Comedy,Sci-Fi",1h 35m , PG-13,Stuart Gordon,"Stuart Gordon,Ted Mann","Ian Beattie,Olwen Fouéré,Tim Loane"
Tokyo Revengers 2: Bloody Halloween - Destiny,2023,6.4,"Action,Crime,Drama",1h 30m,,Tsutomu Hanabusa,"Izumi Takahashi,Ken Wakui","Keita Arai,Takumi Kitamura,Shôtarô Mamiya"
Project 'Gemini',2022,3.5,"Adventure,Sci-Fi,Thriller",1h 38m , Unrated,Serik Beyseu,"Natalya Lebedeva,Dmitriy Zhigalov","Egor Koreshkov,Alyona Konstantinova,Samoukov Kostya"
Contamination,1980,5.1,"Horror,Sci-Fi",1h 35m , R,Luigi Cozzi,"Erich Tomek,Luigi Cozzi","Ian McCulloch,Marino Masé,Louise Marleau"
Dracula 3000,2004,2.1,"Horror,Sci-Fi",1h 26m , R,Darrell Roodt,"Ivan Milborrow,Darrell Roodt","Casper Van Dien,Coolio,Erika Eleniak"
Galaxina,1980,3.6,"Comedy,Sci-Fi",1h 35m , R,William Sachs,,"Avery Schreiber,J.D. Hinton,Stephen Macht"
Catwoman: Hunted,2022,5.6,"Animation,Action,Crime",1h 18m , PG-13,Shinsuke Terasawa,,"Elizabeth Gillies,Stephanie Beatriz,Jonathan Banks"
Beware! The Blob,1972,4.1,"Comedy,Horror,Sci-Fi",1h 27m , GP,Larry Hagman,"Anthony Harris,Jack Woods,Richard Clair","Richard Stahl,Gwynne Gilford,Robert Walker Jr."
Conquest of the Planet of the Apes,1972,6.1,"Action,Sci-Fi",1h 28m , PG,J. Lee Thompson,"Paul Dehn,Pierre Boulle","Ricardo Montalban,Don Murray,Roddy McDowall"
Beyond the Light Barrier,2023,7.7,"Documentary,Biography,Romance",1h 27m,,Uga Carlini,,"Beth Brady,Paul Brogan,Sue Armstrong"
Primal Rage,1988,5.4,"Horror,Sci-Fi,Thriller",1h 31m , R,Vittorio Rambaldi,"James Justice,Umberto Lenzi","Sarah Buxton,Patrick Lowe,Cheryl Arutt"
Nightmare City,1980,5.6,"Horror,Sci-Fi,Thriller",1h 28m , R,Umberto Lenzi,"Antonio Cesare Corti,Luis María Delgado,Piero Regnoli","Laura Trotter,Hugo Stiglitz,Maria Rosaria Omaggio"
Godsend,2004,4.8,"Action,Drama,Fantasy",1h 42m , PG-13,"Frank M. Calo,Nick Hamm",,"Rebecca Romijn,Robert De Niro,Greg Kinnear"
Control,2022,4.3,"Mystery,Sci-Fi,Thriller",1h 30m , R,James Mark,"Matthew Nayman,James Mark","Sara Mitich,George Tchortov,Evie Loiselle"
Night Skies,2007,4.5,"Horror,Sci-Fi,Thriller",1h 25m , R,Roy Knyrim,"Eric Miller,Steve B. Harris","Jason Connery,A.J. Cook,George Stults"
Divine Love,2019,6.2,"Drama,Sci-Fi",1h 41m,,Gabriel Mascaro,"Gabriel Mascaro,Esdras Bezerra,Rachel Daisy Ellis","Julio Machado,Antonio Pastich,Dira Paes"
Only,2019,5.1,"Drama,Romance,Sci-Fi",1h 38m , TV-MA,Takashi Doscher,,"Freida Pinto,Leslie Odom Jr.,Chandler Riggs"
Youth Without Youth,2007,6.1,"Drama,Fantasy,Mystery",2h 4m , R,Francis Ford Coppola,"Francis Ford Coppola,Mircea Eliade","Tim Roth,Alexandra Maria Lara,Bruno Ganz"
Planet Dune,2021,2.4,"Adventure,Horror,Sci-Fi",1h 26m , Not Rated,"Tammy Klein,Glenn Campbell","Joe Roche,Lauren Pritchard","Sean Young,Anna Telfer,Emily Killian"
Digimon: The Movie,2000,6.0,"Animation,Action,Adventure",1h 22m , PG,"Mamoru Hosoda,Bob Buchholz,Jeff Nimoy","Akiyoshi Hongo,Bob Buchholz,Jeff Nimoy","Lara Jill Miller,Joshua Seth,Bob Papenbrook"
Ring 2,1999,5.9,"Horror,Mystery,Sci-Fi",1h 35m , Not Rated,Hideo Nakata,"Kôji Suzuki,Hiroshi Takahashi","Kyôko Fukada,Miki Nakatani,Hitomi Satô"
Aliens the Awakening,2023,8.8,"Action,Fantasy,Sci-Fi",1h 48m,,Rui Constantino,,"Caleb Angel,Edward Bali,Darius Carver"
Hot,2016,6.0,"Comedy,Drama,Sci-Fi",1h 30m,,Victor Warren,"Daniel Keleher,Victor Warren","Kate Siegel,Steven Strait,Zachary Knighton"
Alternate,2024,,"Horror,Mystery,Sci-Fi","Alternate: Directed by Amit Shekhar. With Paul Benny, Mariia Reznichenko, Eugene Poradun. As a lethal virus threatens to wipe out the human race, a scientist and an alien team up to risk a perilous journey to a parallel dimension to retrieve the cure before time runs out.",,Amit Shekhar,,"Eugene Poradun,Paul Benny,Mariia Reznichenko"
The Mutations,1974,5.2,"Horror,Sci-Fi",1h 32m , R,Jack Cardiff,"Edward Mann,Robert D. Weinbach","Tom Baker,Brad Harris,Donald Pleasence"
Evangelion: 2.0 You Can (Not) Advance,2009,7.9,"Animation,Action,Drama",1h 52m,,"Hideaki Anno,Kazuya Tsurumaki,Masayuki",,"Kotono Mitsuishi,Megumi Ogata,Megumi Hayashibara"
The Disappearance of Haruhi Suzumiya,2010,8.0,"Animation,Drama,Family",2h 42m , Not Rated,"Tatsuya Ishihara,Yasuhiro Takemoto","Fumihiko Shimo,Nagaru Tanigawa","Aya Hirano,Tomokazu Sugita,Minori Chihara"
Maximum Ride,2016,3.6,"Action,Adventure,Comedy",1h 28m , PG-13,Jay Martin,"Angelique Hanus,James Patterson,Jesse Spears","Patrick Johnson,Lyliana Wray,Allie Marie Evans"
Our House,2018,5.3,"Drama,Horror,Mystery",1h 30m , PG-13,Anthony Scott Burns,"Nathan Parker,Matt Osterman","Percy Hynes White,Thomas Mann,John Ralston"
Revolt,2017,5.3,"Action,Adventure,Sci-Fi",1h 27m , R,Joe Miale,"Joe Miale,Rowan Athale","Bérénice Marlohe,Jason Flemyng,Lee Pace"
Voyage to the Planet of Prehistoric Women,1968,2.9,"Adventure,Sci-Fi",1h 18m , Unrated,Peter Bogdanovich,,"Paige Lee,Mamie Van Doren,Mary Marr"
Sand Land,2023,7.9,"Animation,Action,Adventure",1h 46m,,"Hiroshi Kôjina,Toshihisa Yokoshima","Akira Toriyama,Hayashi Mori","Mutsumi Tamura,Kazuhiro Yamaji,Chô"
Attack on Titan,2022,2.7,"Action,Adventure,Sci-Fi",1h 31m , TV-14,Noah Luke,,"Michael Paré,Neli Sabour,Erin Coker"
The Lost World,1925,7.0,"Adventure,Fantasy,Sci-Fi",1h 50m , Passed,Harry O. Hoyt,"Arthur Conan Doyle,Marion Fairfax","Bessie Love,Wallace Beery,Lloyd Hughes"
The Adventures of Taura: Prison Ship Star Slammer,1986,3.6,"Action,Comedy,Sci-Fi",1h 26m , R,Fred Olen Ray,"Fred Olen Ray,Michael Sonye,Miriam L. Preissel","Suzy Stokey,Sandy Brooke,Ross Hagen"
The Caller,1987,6.1,"Mystery,Sci-Fi,Thriller",1h 37m , R,Arthur Allan Seidelman,,"Malcolm McDowell,Madolyn Smith Osborne"
Attack of the Crab Monsters,1957,4.9,"Horror,Sci-Fi",1h 3m , Approved,Roger Corman,,"Pamela Duncan,Russell Johnson,Richard Garland"
Earth to Echo,2014,5.7,"Adventure,Family,Sci-Fi",1h 31m , PG,Dave Green,"Andrew Panay,Henry Gayden","Teo Halm,Astro,Reese Hartwig"
Rock & Rule,1983,6.4,"Animation,Fantasy,Music",1h 17m , PG,Clive A. Smith,"Peter Sauder,John Halfpenny,Patrick Loubert","Paul Le Mat,Greg Salata,Don Francks"
Gintama Live Action the Movie,2017,6.1,"Action,Adventure,Comedy",2h 11m,,Yûichi Fukuda,"Yûichi Fukuda,Hideaki Sorachi","Masami Nagasawa,Kanna Hashimoto,Masaki Suda"
Splatter: Naked Blood,1996,6.2,"Drama,Horror,Sci-Fi",1h 16m , Unrated,Hisayasu Satô,,"Misa Aika,Yumika Hayashi,Mika Kirihara"
Justice Society: World War II,2021,6.4,"Animation,Action,Adventure",1h 24m , PG-13,Jeff Wamester,"Meghan Fitzmartin,Jeremy Adams","Stana Katic,Omid Abtahi,Matt Bomer"
Godzilla vs. King Ghidorah,1991,6.4,"Action,Adventure,Drama",1h 40m , Not Rated,"Katsumune Ishida,Kazuki Ômori,Koji Hashimoto",,"Anna Nakagawa,Megumi Odaka,Kôsuke Toyohara"
2025 Armageddon,2022,3.1,"Action,Sci-Fi",1h 25m,,Michael Su,"Tammy Klein,Glenn Campbell,Marc Gottlieb","Michael Paré,Jhey Castles,Lindsey Marie Wilson"
The Sorcerers,1967,6.2,"Horror,Sci-Fi",1h 26m , Unrated,Michael Reeves,"Michael Reeves,John Burke,Tom Baker","Ian Ogilvy,Elizabeth Ercy,Boris Karloff"
Return of the Living Dead: Necropolis,2005,3.3,"Action,Comedy,Horror",1h 28m , R,Ellory Elkayem,"Aaron Strongoni,William Butler","Aimee-Lynn Chadwick,John Keefe,Cory Hardrict"
My Hero Academia: World Heroes' Mission,2021,7.1,"Animation,Action,Adventure",1h 41m , PG-13,Kenji Nagasaki,"Kôhei Horikoshi,Yôsuke Kuroda","Nobuhiko Okamoto,Yûki Kaji,Daiki Yamashita"
World Without End,1956,5.8,"Adventure,Romance,Sci-Fi",1h 20m , Approved,Edward Bernds,,"Hugh Marlowe,Nelson Leigh,Nancy Gates"
The Last Battleship,2025,,"Horror,Sci-Fi","The Last Battleship: Directed by Brady Jacquin. With Lew Temple, Tracee Cocco, Avaryana Rose, Lexi Marie Hawks. A crew of children and adults gets the battleship back into action and begin to fight the way home after being cut off from Alliance space by an unknown attacker. The only issue is that this threat is straight out of a person's worst fears",,Brady Jacquin,"Garrett K. Jones,Joe Cahill","Tracee Cocco,Avaryana Rose,Lew Temple"
The Mole People,1956,5.0,"Adventure,Fantasy,Horror",1h 17m , Approved,Virgil W. Vogel,,"Cynthia Patrick,Hugh Beaumont,John Agar"
King Kong vs. Godzilla,1963,5.7,"Action,Adventure,Fantasy",1h 31m , Not Rated,"Ishirô Honda,Tom Montgomery","Paul Mason,Bruce Howard,Shin'ichi Sekizawa","Kenji Sahara,Yû Fujiki,Tadao Takashima"
Avatar 4,2029,,"Action,Adventure,Fantasy","Avatar 4: Directed by James Cameron. With Sigourney Weaver, Zoe Saldana, Michelle Yeoh, Cliff Curtis. Sequel of Avatar 3 (2025). The plot is unknown.",,James Cameron,,"Zoe Saldana,Sigourney Weaver,Michelle Yeoh"
Will-o'-the-Wisp,2022,6.1,"Comedy,Fantasy,Musical",1h 7m , Unrated,João Pedro Rodrigues,"João Pedro Rodrigues,Paulo Lopes Graça,João Rui Guerra da Mata","Mauro da Costa,Margarida Vila-Nova,André Cabral"
Unknown World,1951,4.1,"Adventure,Sci-Fi",1h 14m , Approved,Terry O. Morse,"Millard Kaufman,Dalton Trumbo","Jim Bannon,Bruce Kellogg,Otto Waldis"
Mill of the Stone Women,1960,6.5,"Horror,Sci-Fi",1h 36m , Approved,Giorgio Ferroni,"Pieter van Weigen,Giorgio Ferroni,Remigio Del Grosso","Scilla Gabel,Pierre Brice,Wolfgang Preiss"
The House at the End of Time,2013,6.7,"Drama,Fantasy,Horror",1h 41m , Unrated,Alejandro Hidalgo,"Frank Baiz Quevedo,Alejandro Hidalgo","Guillermo Garcia,Ruddy Rodríguez,Rosmel Bustamante"
Cargo,2009,6.1,"Drama,Mystery,Sci-Fi",1h 52m,,"Ralph Etter,Ivan Engler","Arnold Bucher,Ivan Engler,Patrik Steinmann","Martin Rapold,Regula Grauwiller,Anna Katharina Schwabroh"
Lion-Girl,2023,6.7,"Action,Sci-Fi",2h 1m,,Kurando Mitsutake,,"Stefanie Estes,Erin Marie Hogan,Derek Mears"
Tin Can,2020,4.0,Sci-Fi,1h 44m,,Seth A Smith,"Seth A Smith,Darcy Spidle","Michael Ironside,Anna Hopkins,Simon Mutabazi"
Godzilla 1985,1985,6.1,"Action,Horror,Sci-Fi",1h 27m , PG,"Ishirô Honda,R.J. Kizer,Koji Hashimoto","Reuben Bercovitch,Akira Murao,Fred Dekker","Raymond Burr,Keiju Kobayashi,Ken Tanaka"
Singularity,2017,3.6,"Action,Adventure,Drama",1h 32m , PG-13,Robert Kouba,"Sebastian Cepeda,Robert Kouba","Julian Schaffner,John Cusack,Carmen Argenziano"
Mutant Action,1993,6.4,"Comedy,Fantasy,Sci-Fi",1h 33m,,Álex de la Iglesia,"Álex de la Iglesia,Jorge Guerricaechevarría","Álex Angulo,Frédérique Feder,Antonio Resines"
Officer Downe,2016,4.2,"Action,Comedy,Sci-Fi",1h 28m , R,Shawn Crahan,"Chris Burnham,Joe Casey","Meadow Williams,Kim Coates,Tyler Ross"
Moontrap,1988,4.8,"Horror,Sci-Fi",1h 32m , R,Robert Dyke,,"Walter Koenig,Bruce Campbell,Leigh Lombardi"
Ape vs. Mecha Ape,2023,5.3,"Action,Fantasy,Horror",1h 24m,,Marc Gottlieb,,"Lisa Lee,Anna Telfer,Tom Arnold"
Bug,1975,5.2,"Horror,Mystery,Sci-Fi",1h 39m , PG,Jeannot Szwarc,"Thomas Page,William Castle","Richard Gilliland,Bradford Dillman,Joanna Miles"
Star Raiders: The Adventures of Saber Raine,2017,3.1,"Adventure,Sci-Fi",1h 23m,,Mark Steven Grove,,"Cynthia Rothrock,Casper Van Dien,Brit Laree"
Thirst,1979,5.8,"Drama,Horror,Mystery",1h 35m , R,Rod Hardy,,"Chantal Contouri,Max Phipps,Shirley Cameron"
They Bite,1996,4.6,"Comedy,Horror,Sci-Fi",1h 38m , R,Brett Piper,,"Nick Baldasare,Christina Veronica,Donna Frotscher"
Land Shark,2020,4.2,"Action,Adventure,Horror",1h 15m,,Cheng Si-Yu,,"Liqun Luo,Tang Xin,Xi Mei-Li"
Missile to the Moon,1958,4.0,"Drama,Sci-Fi",1h 18m , Approved,Richard E. Cunha,"H.E. Barrie,Vincent Fotre","Cathy Downs,K.T. Stevens,Richard Travis"
Batman: Return of the Caped Crusaders,2016,6.7,"Animation,Action,Adventure",1h 18m , PG,Rick Morales,"William Dozier,James Tucker,Michael Jelenic","Adam West,Burt Ward,Julie Newmar"
The Adventures of Mark Twain,1985,7.2,"Animation,Adventure,Family",1h 26m , G,Will Vinton,"Mark Twain,Susan Shadburne,Daniel Yost","James Whitmore,Gary Krug,Michele Mariana"
Warlords of the Deep,1978,5.5,"Adventure,Fantasy,Sci-Fi",1h 36m , PG,Kevin Connor,,"Peter Gilmore,Doug McClure,Shane Rimmer"
The Last Gateway,2007,4.8,Sci-Fi,1h 45m , Not Rated,Demián Rugna,,"Rodrigo Aragón,Salomé Boustani,Juan Franco Costanzi"
Fortress 2: Re-Entry,2000,4.5,"Action,Sci-Fi",1h 32m , R,Geoff Murphy,"John Flock,Steven Feinberg,Troy Neighbors","Beth Toussaint,Christopher Lambert,Willie Garson"
The Curious Female,1970,4.2,"Comedy,Sci-Fi",1h 27m , R,Paul Rapp,,"Bunny Allister,Angelique Pettyjohn,Charlene Jones"
Antarjal,2023,6.6,"Action,Sci-Fi,Thriller",2h 35m,,Dipankar Dipon,"Dipankar Dipon,Asha Zahid,Saifullah Riyad","Bidya Sinha Saha,Abm Sumon,Siam Ahmed"
It Conquered the World,1956,4.9,"Horror,Sci-Fi",1h 11m , Approved,Roger Corman,"Charles B. Griffith,Lou Rusoff","Beverly Garland,Peter Graves,Lee Van Cleef"
Night of the Big Heat,1967,5.6,"Horror,Mystery,Sci-Fi",1h 34m , GP,Terence Fisher,"Ronald Liles,Pip Baker,John Lymington","Peter Cushing,Christopher Lee,Patrick Allen"
Jetsons: The Movie,1990,5.5,"Animation,Comedy,Family",1h 22m , G,"Joseph Barbera,Iwao Takamoto,William Hanna","Carl Sautter,Dennis Marks","George O'Hanlon,Mel Blanc,Penny Singleton"
Valley of the Gods,2019,4.6,"Adventure,Drama,Sci-Fi",2h 6m , TV-14,Lech Majewski,,"Josh Hartnett,Bérénice Marlohe,John Malkovich"
Terra Willy,2019,6.6,"Animation,Adventure,Comedy",1h 29m , PG,Eric Tosti,"Jean-François Tosti,Eric Tosti,David Alaux","Landen Beattie,Jason Anthony,Edouard Baer"
Nightmare at Noon,1988,4.9,"Action,Sci-Fi,Horror",1h 36m , R,Nico Mastorakis,"Kirk Ellis,Nico Mastorakis","George Kennedy,Wings Hauser,Bo Hopkins"
The Creation of the Humanoids,1962,5.7,Sci-Fi,1h 15m , Approved,Wesley Barry,"Jay Simms,Jack Williamson","Frances McCann,Don Megowan,Erica Elliott"
Frankenstein's Daughter,1958,4.2,"Horror,Musical,Romance",1h 25m , Approved,Richard E. Cunha,,"Donald Murphy,John Ashley,Sandra Knight"
Atlantic Rim: Resurrection,2018,1.8,"Action,Adventure,Sci-Fi",1h 26m , Unrated,Jared Cohn,,"Jenna Enns,Xavi Israel,Steve Richard Harris"
Code Geass: Lelouch of the Re;Surrection,2019,7.3,"Animation,Action,Adventure",1h 52m , Not Rated,Gorô Taniguchi,"Ichirô Ôkouchi,J. Michael Tatum,Gorô Taniguchi","Takahiro Sakurai,Yukana,Jun Fukuyama"
Colonials,2023,2.5,Sci-Fi,1h 20m,,"Andrew Balek,Joe Bland","Cyrus Cheek,Joe Bland","Daniel Roebuck,Sean Kanan,Louise Barnes"
The Omega Code,1999,3.5,"Action,Adventure,Fantasy",1h 40m , PG-13,Robert Marcarelli,"Hollis Barton,Stephan Blinn","Casper Van Dien,Michael York,Catherine Oxenberg"
La maldición de Frankenstein,1973,5.0,"Horror,Sci-Fi",1h 34m , Not Rated,Jesús Franco,"Jesús Franco,Mary Shelley","Dennis Price,Howard Vernon,Alberto Dalbés"
X the Unknown,1956,6.1,"Horror,Sci-Fi",1h 21m , Approved,"Joseph Losey,Leslie Norman",,"Edward Chapman,Dean Jagger,Leo McKern"
Battle for Terra,2007,6.5,"Animation,Action,Adventure",1h 25m , PG,Aristomenis Tsirbas,"Evan Spiliotopoulos,Aristomenis Tsirbas","Justin Long,Luke Wilson,Evan Rachel Wood"
2.0,2018,6.0,"Action,Sci-Fi,Thriller",2h 28m , Not Rated,S. Shankar,"S. Shankar,Lakshmi Saravanakumar,Jayamohan","Rajinikanth,Amy Jackson,Akshay Kumar"
Killer Fish,1979,4.1,"Horror,Sci-Fi,Thriller",1h 41m , PG,Antonio Margheriti,,"Lee Majors,Margaux Hemingway,Karen Black"
9 Miles Down,2009,5.3,"Horror,Mystery,Sci-Fi",1h 26m , Not Rated,Anthony Waller,"Anthony Waller,Everett De Roche","Anthony Waller,Adrian Paul,Amanda Douge"
Alchemy of the Spirit,2022,5.9,Sci-Fi,1h 32m,,Steve Balderson,,"Xander Berkeley,Mink Stole,Sarah Clarke"
The Wall,2012,6.7,"Drama,Mystery,Sci-Fi",1h 48m , Not Rated,Julian Pölsler,"Marlen Haushofer,Julian Pölsler","Karlheinz Hackl,Luchs von Kyffhäuserbach,Martina Gedeck"
